epoch,train_loss,val_loss,train_rmse,val_rmse,train_r2,val_r2,backbone_lr,head_lr
1,11.503614901652046,6.798454976497822,11.93894764642581,7.004820017431393,-163.61159850258522,-62.23761037312731,1e-05,7e-05
2,2.8606645735187746,0.4242563270668681,3.8396657849254012,0.7223798324650563,-16.0261001782117,0.3274683708326309,1e-05,7e-05
3,0.6664652368836156,0.3763765910002373,1.061139356232034,0.6576431255509898,-0.3003886827242255,0.44260629716431554,1e-05,7e-05
4,0.63381789252675,0.3406803738206105,1.014404673652294,0.6049537971887073,-0.18836764672293893,0.5283434145199122,1e-05,7e-05
5,0.5931046197153137,0.26854109961139266,0.9683936130942287,0.5373729058684374,-0.08300925912092305,0.6278371491188934,1e-05,7e-05
6,0.5695339653544976,0.35437568061607927,0.9451455146300886,0.6151995391488263,-0.031634107085811713,0.5122317906646219,1e-05,7e-05
7,0.5391517129677055,0.2466407434397383,0.9028510328799191,0.5059116172928793,0.058629607104873305,0.6701391353513619,1e-05,7e-05
8,0.5155823344605517,0.2525865436968615,0.8767966160017472,0.5078471043698802,0.11217766442374566,0.6676103826015403,1e-05,7e-05
9,0.4938972077804969,0.24979318375977164,0.8547146627039462,0.49960239324128597,0.1563338091937594,0.6783152234997422,1e-05,7e-05
10,0.4765587381295935,0.2515645869780944,0.8292745314281181,0.5014708909204028,0.20580894387508863,0.6759045415133029,5e-06,3.5e-05
11,0.4601490783827431,0.24878533593660324,0.8059940360194314,0.4926989064256745,0.24977420364537462,0.6871438582188073,5e-06,3.5e-05
12,0.4505084469495222,0.24909062742420685,0.7986763086757445,0.4949478608444681,0.2633351621524277,0.6842812376438678,5e-06,3.5e-05
13,0.4429428224696809,0.24684098305452626,0.7935241446755239,0.49092550264811013,0.2728087777484046,0.689391972658687,2.5e-06,1.75e-05
14,0.4288314363981311,0.2074368286012399,0.7711902697350361,0.44665426041669765,0.31316657926003366,0.7428867546086246,2.5e-06,1.75e-05
15,0.4263530550053709,0.2246167432752851,0.7695842693845665,0.4672251855842336,0.3160242557748102,0.7186583831988246,2.5e-06,1.75e-05
16,0.42258665789400246,0.21605395297866223,0.7638726544573677,0.45920516147006235,0.3261390915847362,0.728234070056093,2.5e-06,1.75e-05
17,0.4156947127423745,0.21166900332582664,0.7570001495000782,0.45085793996874934,0.3382098982071847,0.7380243460002973,1.25e-06,8.75e-06
18,0.4153969346269153,0.22885773313822716,0.758877975888598,0.46811163674070966,0.33492253219669044,0.7175898098668885,1.25e-06,8.75e-06
19,0.4075031217723387,0.234250654256924,0.744396134199556,0.4767418473670817,0.36006398155035313,0.707080665636254,1.25e-06,8.75e-06
20,0.41587107956186653,0.2336140073309041,0.7561853661469328,0.47494315911285884,0.3396337430271361,0.7092867931670845,6.25e-07,4.375e-06
21,0.4054356965051494,0.21115836013994488,0.7422850125079828,0.451017128033198,0.363688576147849,0.7378393176094303,6.25e-07,4.375e-06
22,0.4030673517478209,0.21730609871686546,0.7478631650392239,0.45696335799640586,0.35408908575467146,0.7308810727978576,6.25e-07,4.375e-06
